HUD frame time nsec:,7125000

Range Index,Elapsed Time, First Event,Last Event
0,8832,3,3
1,960,11,11
2,928,17,17
3,928,29,29
4,960,36,36
5,960,50,50
6,5696,62,62
7,16320,75,75
8,16576,88,88
9,41536,95,95
10,53568,104,104
11,9878048,110,110
