HUD frame time nsec:,6996000

Range Index,Elapsed Time, First Event,Last Event
0,9472,3,3
1,1824,11,11
2,960,17,17
3,928,29,29
4,960,36,36
5,1376,50,50
6,5696,62,62
7,14400,75,75
8,928,78,78
9,13280,86,86
10,38656,92,92
11,53472,101,101
12,10047552,107,107
